Name,College,ERA,Batting_Avg,Strikeouts,Innings_Pitched,Walks_Allowed,Hits_Allowed,Homeruns_Allowed,Int_Walks_Allowed,Hit_Batters,Games,Games_Started
George Kontos,Northwestern University,0,0.167,6,9,0,6,0,0,0,12,0
German Marquez,,3.6,0.333,5,5,1,7,1,0,0,1,1
Gerrit Cole,"University of California, Los Angeles",3.05,0.184,234,195,48,123,27,0,0,30,30
Gio Gonzalez,,4.7,0.223,27,29,21,23,4,0,1,8,8
Grant Balfour,,0,0.084,4,6,1,2,0,0,0,6,0
Greg Holland,Western Carolina University,0.75,0.1,42,30,6,12,0,0,0,30,0
Heath Hembree,University of South Carolina,0,0,4,6,6,0,0,0,0,4,0
Hector Rondon,,6,0.363,6,6,0,9,3,0,0,6,0
Hiroki Kuroda,,2.84,0.176,14,15,1,10,2,0,2,2,2
Homer Bailey,,1.29,0.05,10,7,1,1,0,0,1,1,1
Hunter Strickland,,7.88,0.288,7,7,2,8,5,0,0,7,0
Huston Street,University of Texas at Austin,0,0,9,9,6,0,0,3,0,6,0
Hyun-Jin Ryu,,4.77,0.261,32,39,8,41,3,2,0,8,8
Ian Kennedy,University of Southern California,4.26,0.265,24,36,9,39,3,0,9,6,6
Ivan Nova,,4.32,0.233,8,8,4,7,2,0,0,2,1
J. A. Happ,Northwestern University,2.7,0.293,27,30,6,39,3,0,0,6,6
J. P. Howell,University of Southern California,2.45,0.286,9,9,6,12,3,0,0,12,0
Jack Flaherty,,5.89,0.287,22,17,4,17,2,0,1,3,3
Jacob deGrom,,3.72,0.221,29,25,8,21,2,1,0,4,4
Jaime Garcia,,4.31,0.267,21,25,8,27,3,2,1,5,5
Jake Arrieta,Texas Christian University,3.44,0.195,132,102,42,72,12,2,10,18,18
Jake Diekman,,1.5,0.105,5,6,0,2,0,0,0,4,0
Jake Odorizzi,,3.6,0.263,5,5,0,5,1,0,0,1,1
